symbol,exDate,factor,source
ABFRL,2025-05-22,0.36363636363636365,implied
ABREL,2019-10-11,0.4444444444444444,implied
AGI,2019-09-03,0.2,implied
AKSHAR,2023-10-09,0.09090909090909091,implied
ALLCARGO,2025-11-26,0.36363636363636365,implied
ARVIND,2018-11-28,0.35714285714285715,implied
BOHRAIND,2025-07-14,0.4444444444444444,implied
BOMDYEING,2018-10-30,0.4375,implied
BORORENEW,2020-03-23,0.2,implied
CAPTRUST,2025-09-09,0.45454545454545453,implied
CHEMBOND,2025-05-23,0.5,implied
CPCAP,2025-05-23,0.5,implied
DIACABS,2025-01-13,0.1,implied
DVL,2017-12-07,0.3846153846153846,implied
DVL,2019-01-02,0.4375,implied
ELGIRUBCO,2025-08-25,0.4375,implied
EUROTEXIND,2026-03-16,0.5555555555555556,implied
FELDVR,2016-05-25,0.14285714285714285,implied
FLEXITUFF,2025-08-11,0.4,implied
FLFL,2022-11-22,0.3076923076923077,implied
GEEKAYWIRE,2024-02-12,0.47368421052631576,implied
GLOBE,2021-10-12,0.2,implied
GROBTEA,2020-11-10,0.5263157894736842,implied
GVPTECH,2024-03-26,0.125,implied
HERITGFOOD,2023-01-20,0.5,implied
HINDCON,2023-11-20,0.25,implied
ICICIBANKN,2022-09-01,0.1,implied
ICICIGOLD,2016-06-09,0.1,implied
INDOTHAI,2025-09-15,0.18181818181818182,implied
JINDALPHOT,2016-05-26,0.4444444444444444,implied
KAPSTON,2024-09-30,0.5263157894736842,implied
MAANALU,2023-10-30,0.35714285714285715,implied
MAHAPEXLTD,2026-03-20,0.47368421052631576,implied
MBECL,2024-04-22,0.1,implied
MICEL,2022-03-29,0.5263157894736842,implied
MIRZAINT,2023-04-18,0.14285714285714285,implied
NAGREEKEXP,2024-03-18,0.47368421052631576,implied
OMKARCHEM,2017-06-27,0.3846153846153846,implied
ORCHPHARMA,2022-01-10,0.5,implied
PATINTLOG,2021-10-28,0.5454545454545455,implied
PHILIPCARB,2018-04-19,0.2,implied
PRAXIS,2020-04-13,0.411764705882353,implied
PRAXIS,2021-09-07,0.5263157894736842,implied
PRAXIS,2024-03-13,0.5,implied
PREMIERPOL,2025-02-24,0.18181818181818182,implied
ROSSELLIND,2024-10-07,0.18181818181818182,implied
S&SPOWER,2020-08-18,0.47368421052631576,implied
SADHNANIQ,2025-12-02,0.23076923076923078,implied
SANGINITA,2024-06-03,0.5555555555555556,implied
SELMC,2023-07-03,0.3076923076923077,implied
SHANKARA,2025-10-09,0.14285714285714285,implied
SHYAMTEL,2018-03-19,0.47058823529411764,implied
SICALLOG,2026-07-01,0.5,implied
SIEMENS,2025-04-07,0.5,implied
SKYGOLD,2025-01-27,0.2857142857142857,implied
SUMIT,2020-08-18,0.5555555555555556,implied
SUVEN,2020-02-03,0.09090909090909091,implied
TALWALKARS,2018-04-12,0.4444444444444444,implied
TECILCHEM,2025-07-14,0.36363636363636365,implied
TIRUPATIFL,2022-01-04,0.4666666666666667,implied
TRANSWORLD,2020-11-10,0.5625,implied
VAKRANGEE,2018-06-01,0.2857142857142857,implied
VEDL,2026-04-30,0.375,implied
VEEDOL,2021-10-18,0.1111111111111111,implied
